question,answer_text,context,,
???? ??? ???? ??????? ?????? ?? ???? ???? ?? ????,???,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ???? ???? ??? ????? ?? ???,2003,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
??? ????? ?????? ?? ??? ???? ?????? ???? ??? ????,??? ??? ??,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ????? ?? ?? ?? ?? ???? ????,??????,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
????? ?????? ?? ??? ???? ???? ?? ?????,???,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ????? ?? ??? ???? ???? ??? ?? ?? ????? ?? ?????,???,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
???? ????? ???? ????? ???,????,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
????? ???? ?????? ???? ????? ??? ????,???,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
???? ?????? ?? ?????? ???? ?????? ??? ???? ????? ??? ???,???? ???? ??,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
???? ???????? ??? ??? ??? ??? ????? ???? ???????? ?? ???,2010,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
???? ??? ???? ???? ????? ????,????,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
???? ?? ???? ???? ??? ?? ??? ????,???? ????,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
????? ?? ?????? ???? ?? ???,?? 2005,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
????? ???? ??? ???? ?? ?? ????,? '??,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
?2006 ???? ??????? ?? ?? ????,??? ??? ???,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
???? ?? ???????,?? ?,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
????? ?? ?? ?? ???,?? ???,"?.?.? ??? ?? 2005 ?????? ?? ???? ???? ""Dejustly,"", ?? ""???? ????"" ?????? ?????? ??? ????? ???? ? ? ????? ? ? ?????? ????? ????? ???? ??? ??????? ? ????? ? ??? ???? (2006) ?? ??? (2009) ?? ???? ???? ????? ?????? ??? ? ?? ?? ??????? ????? ????? ??? ??? ???? ??? ?????? ??? ???? ???? ?? ???? ????? ??... ?? ??? (2008) ?????? ??? ??? ?? ??? (2008) ?.?.? ?2010 ""??? ????"" ????? ??? ??? ???? ????? ???? ????? ? ???? ?.?.?. ?2010 ???? ????? ????? ???? ?????? ???? ???? ? ? ???? ???? 4 (2011) ?? ???? ?1970?? ???? ? 1980?? ?? ?? 1990 ???? ????? ????? ??? ? ? ??????? ???? ????? ?????? ???? (2013) ???? ???? ???? ???? ??? ????? ???? ?? ? ?",,
????? ??? ?????? ?????? ????? ???? ???? ????,??? ? ????? ???? ?? ?? ?? ?????,"???? ""?????? ??"" ??? ????? ?? ???? ???? ?? ???? ? ?????? ?? ??? ???? ????? ???? ??? ????? ???? ??????? ???? ??????????? ???? ????? ? ???? ???? ????? ??? ????? ???? ??? ???? ????? ????? ??? ???? ??? ???????? ???? ????? ?? ?? ? ??? ??? ?19 ???? ??? ?? ?118 ???? ??? ?????? ??? ??????? ???? ? ?????? 60 ???? ????? ??? ????? ?? ?? ????? ??? ?? ???? ??? ???? ?????? ??? ???? ? 20 ???? ???? ????? ??? ????? ??? ??? ??? ????? ?????? ?? ?? ? ???? ????? ????? ???? ?????? ???? ?2000?? ???? ???? ????? ??? ??? ???? ???? ????? ? ?2009 ?????? ???? ? ?2000?? ?? ??? ???? ????? ??? ?? ?2011 ??? ??? ??? ??? ???? ??? ??? ??? ? ?2013 ?? ?2014 ???? ?? ???? ???? ???? 100 ??? ???? ??? ?????? ??? ??? ????? ????? ? ???? ????? ???? ?.?.? ?2015 ??? ??? ?? ???? ??????? ???? ?",,
??? ???? ???? ????? 100 ????? ??? ???? ???? ?? ??? ?,???,"???? ""?????? ??"" ??? ????? ?? ???? ???? ?? ???? ? ?????? ?? ??? ???? ????? ???? ??? ????? ???? ??????? ???? ??????????? ???? ????? ? ???? ???? ????? ??? ????? ???? ??? ???? ????? ????? ??? ???? ??? ???????? ???? ????? ?? ?? ? ??? ??? ?19 ???? ??? ?? ?118 ???? ??? ?????? ??? ??????? ???? ? ?????? 60 ???? ????? ??? ????? ?? ?? ????? ??? ?? ???? ??? ???? ?????? ??? ???? ? 20 ???? ???? ????? ??? ????? ??? ??? ??? ????? ?????? ?? ?? ? ???? ????? ????? ???? ?????? ???? ?2000?? ???? ???? ????? ??? ??? ???? ???? ????? ? ?2009 ?????? ???? ? ?2000?? ?? ??? ???? ????? ??? ?? ?2011 ??? ??? ??? ??? ???? ??? ??? ??? ? ?2013 ?? ?2014 ???? ?? ???? ???? ???? 100 ??? ???? ??? ?????? ??? ??? ????? ????? ? ???? ????? ???? ?.?.? ?2015 ??? ??? ?? ???? ??????? ???? ?",,
????? ???? ???? ???? ?????? ???? ???? ???,????,"???? ""?????? ??"" ??? ????? ?? ???? ???? ?? ???? ? ?????? ?? ??? ???? ????? ???? ??? ????? ???? ??????? ???? ??????????? ???? ????? ? ???? ???? ????? ??? ????? ???? ??? ???? ????? ????? ??? ???? ??? ???????? ???? ????? ?? ?? ? ??? ??? ?19 ???? ??? ?? ?118 ???? ??? ?????? ??? ??????? ???? ? ?????? 60 ???? ????? ??? ????? ?? ?? ????? ??? ?? ???? ??? ???? ?????? ??? ???? ? 20 ???? ???? ????? ??? ????? ??? ??? ??? ????? ?????? ?? ?? ? ???? ????? ????? ???? ?????? ???? ?2000?? ???? ???? ????? ??? ??? ???? ???? ????? ? ?2009 ?????? ???? ? ?2000?? ?? ??? ???? ????? ??? ?? ?2011 ??? ??? ??? ??? ???? ??? ??? ??? ? ?2013 ?? ?2014 ???? ?? ???? ???? ???? 100 ??? ???? ??? ?????? ??? ??? ????? ????? ? ???? ????? ???? ?.?.? ?2015 ??? ??? ?? ???? ??????? ???? ?",,
????? ????? ????? ?????? ???? ?????? ?? ?????? ???????? ????? ?? ??????? ????? ??? ???? ??? ???,2000,"???? ""?????? ??"" ??? ????? ?? ???? ???? ?? ???? ? ?????? ?? ??? ???? ????? ???? ??? ????? ???? ??????? ???? ??????????? ???? ????? ? ???? ???? ????? ??? ????? ???? ??? ???? ????? ????? ??? ???? ??? ???????? ???? ????? ?? ?? ? ??? ??? ?19 ???? ??? ?? ?118 ???? ??? ?????? ??? ??????? ???? ? ?????? 60 ???? ????? ??? ????? ?? ?? ????? ??? ?? ???? ??? ???? ?????? ??? ???? ? 20 ???? ???? ????? ??? ????? ??? ??? ??? ????? ?????? ?? ?? ? ???? ????? ????? ???? ?????? ???? ?2000?? ???? ???? ????? ??? ??? ???? ???? ????? ? ?2009 ?????? ???? ? ?2000?? ?? ??? ???? ????? ??? ?? ?2011 ??? ??? ??? ??? ???? ??? ??? ??? ? ?2013 ?? ?2014 ???? ?? ???? ???? ???? 100 ??? ???? ??? ?????? ??? ??? ????? ????? ? ???? ????? ???? ?.?.? ?2015 ??? ??? ?? ???? ??????? ???? ?",,
???? ?2015 ??? ?? ???? ?????? ???? ????? ???? ???? ???,????,"???? ""?????? ??"" ??? ????? ?? ???? ???? ?? ???? ? ?????? ?? ??? ???? ????? ???? ??? ????? ???? ??????? ???? ??????????? ???? ????? ? ???? ???? ????? ??? ????? ???? ??? ???? ????? ????? ??? ???? ??? ???????? ???? ????? ?? ?? ? ??? ??? ?19 ???? ??? ?? ?118 ???? ??? ?????? ??? ??????? ???? ? ?????? 60 ???? ????? ??? ????? ?? ?? ????? ??? ?? ???? ??? ???? ?????? ??? ???? ? 20 ???? ???? ????? ??? ????? ??? ??? ??? ????? ?????? ?? ?? ? ???? ????? ????? ???? ?????? ???? ?2000?? ???? ???? ????? ??? ??? ???? ???? ????? ? ?2009 ?????? ???? ? ?2000?? ?? ??? ???? ????? ??? ?? ?2011 ??? ??? ??? ??? ???? ??? ??? ??? ? ?2013 ?? ?2014 ???? ?? ???? ???? ???? 100 ??? ???? ??? ?????? ??? ??? ????? ????? ? ???? ????? ???? ?.?.? ?2015 ??? ??? ?? ???? ??????? ???? ?",,
